Pod_Name,GPUMemAve,GPUMemMax,GPUUtilAve,GPUPowerAve
c3c728a002389011ec08b01045e6de32e845-g014-0,1227,1380,0.030,65.960
cda22ac002396011ec08bb20f3128d160513-g03-0,1216,1380,0.000,68.110
e50f6cf002349011ec095370e5a7ed273c06-c05-0,0,0,0.000,42.370
c7424c600238d011ec08bb20f3128d160513-weidq334-0,0,0,0.000,11.890
b2265ec00238e011ec08b01045e6de32e845-weidq970-0,416,418,64.130,220.750
d86a9a6002353011ec08b01045e6de32e845-c05-0,0,0,0.000,41.920
f850756002397011ec095370e5a7ed273c06-g07-0,906,1242,0.140,45.790
b2f3598002392011ec08b01045e6de32e845-g015-0,603,1896,20.690,50.820
e4de720002396011ec08b01045e6de32e845-g016-0,311,1242,0.070,43.810
bebfdae002391011ec08bb20f3128d160513-weidq970-0,413,418,59.100,209.590
fec359100234a011ec095370e5a7ed273c06-c06-0,0,0,0.000,48.000
d86a9a6002353011ec08b01045e6de32e845-c04-0,0,0,0.000,42.730
e717e7700236d011ec095370e5a7ed273c06-g016-0,0,0,0.000,50.110
c1db01a00238b011ec095370e5a7ed273c06-weidq692-0,0,0,0.000,4.060
d6c7f2b002394011ec095370e5a7ed273c06-g010-0,811,1242,0.100,45.870
b2b0080002390011ec08b01045e6de32e845-c021-0,15738,20012,73.040,122.510
c03210700cba4011eb0918702bd7ddedd51c-mouch812-0,12624,16574,0.500,47.430
fec359100234a011ec095370e5a7ed273c06-c015-0,6,27,0.000,50.220
b09d936002376011ec08b01045e6de32e845-g08-0,12015,26842,44.650,77.140
dc5b62600ca6b011eb0891304939b5259323-z01-0,3978,3978,50.000,58.660
e4de720002396011ec08b01045e6de32e845-g010-0,347,1242,0.000,44.980
e50f6cf002349011ec095370e5a7ed273c06-c019-0,0,0,0.000,43.390
ef0171100238c011ec08bb20f3128d160513-g05-0,3306,32444,4.090,66.220
fc9c1d80021f0011ec08bb20f3128d160513-caoshm738-0,0,0,0.000,28.990
ef0171100238c011ec08bb20f3128d160513-g018-0,2134,32444,7.310,68.620
bafda2d002390011ec08b01045e6de32e845-c04-0,17443,20074,70.780,202.830
b2b0080002390011ec08b01045e6de32e845-c08-0,14313,20016,61.230,114.540
fec359100234a011ec095370e5a7ed273c06-c018-0,0,0,0.000,49.660
cda22ac002396011ec08bb20f3128d160513-g02-0,1224,1380,0.060,67.160
bb6ccdc00238f011ec08bb20f3128d160513-c01-0,17753,21950,77.940,203.670
b09d936002376011ec08b01045e6de32e845-g07-0,12088,26832,44.090,82.950
d86a9a6002353011ec08b01045e6de32e845-c02-0,0,0,0.000,42.160
bb6ccdc00238f011ec08bb20f3128d160513-c07-0,17251,20012,76.560,210.860
b2f3598002392011ec08b01045e6de32e845-g019-0,423,1666,23.330,49.390
d6c7f2b002394011ec095370e5a7ed273c06-g023-0,807,1242,0.000,45.930
b91859100234b011ec095370e5a7ed273c06-c011-0,0,0,0.000,49.590
c1524b000237c011ec08b01045e6de32e845-g05-0,8880,26834,33.870,79.760
bafda2d002390011ec08b01045e6de32e845-c02-0,17537,20080,73.060,200.480
b09d936002376011ec08b01045e6de32e845-g010-0,12058,26830,43.760,83.460
bafda2d002390011ec08b01045e6de32e845-c013-0,17445,20076,72.240,186.650
b74c66a002381011ec08bb20f3128d160513-g014-0,12592,23110,54.000,80.410
b74c66a002381011ec08bb20f3128d160513-g07-0,12572,23212,53.120,79.680
bb6ccdc00238f011ec08bb20f3128d160513-c05-0,17666,20012,78.170,212.670
b58befd0000cf011ec08bb20f3128d160513-gushzh280-0,21306,21334,93.750,83.830
b2b0080002390011ec08b01045e6de32e845-c020-0,15452,20012,72.310,112.710
e717e7700236d011ec095370e5a7ed273c06-g015-0,0,3,0.010,50.880
cd9be6500fccd011eb09ab60a9de5c5cd03e-gushzh733-0,20292,20320,97.940,155.260
e4de720002396011ec08b01045e6de32e845-g04-0,347,1242,0.040,44.750
b987bd4002393011ec08b01045e6de32e845-g018-0,11141,12558,77.340,106.170
bafda2d002390011ec08b01045e6de32e845-c014-0,17440,20080,68.570,192.040
c1524b000237c011ec08b01045e6de32e845-g00-0,9231,26820,29.550,80.540
e717e7700236d011ec095370e5a7ed273c06-g014-0,0,5,0.030,50.790
f850756002397011ec095370e5a7ed273c06-g09-0,900,1242,0.000,47.380
bb6ccdc00238f011ec08bb20f3128d160513-c013-0,17809,20012,80.110,215.430
c1524b000237c011ec08b01045e6de32e845-g01-0,8905,26820,29.290,79.210
ef0171100238c011ec08bb20f3128d160513-g06-0,2893,32444,2.490,68.320
b91859100234b011ec095370e5a7ed273c06-c017-0,0,0,0.000,49.750
f850756002397011ec095370e5a7ed273c06-g023-0,908,1242,0.100,47.180
c22a2ad00016a011ec0ad430e756c9320ab0-m01-0,22588,22588,93.000,153.070
b2b0080002390011ec08b01045e6de32e845-c024-0,14934,21950,66.580,114.820
ef0171100238c011ec08bb20f3128d160513-g010-0,2982,32444,3.700,67.490
b91859100234b011ec095370e5a7ed273c06-c02-0,0,5,0.000,49.250
bb6ccdc00238f011ec08bb20f3128d160513-c022-0,17735,20016,77.520,226.760
e50f6cf002349011ec095370e5a7ed273c06-caoshm655-0,0,0,0.000,43.940
b74c66a002381011ec08bb20f3128d160513-g017-0,12604,23120,50.710,80.580
e4de720002396011ec08b01045e6de32e845-g09-0,341,1242,0.180,45.270
f850756002397011ec095370e5a7ed273c06-g010-0,902,1242,0.090,47.210
f99c9ab00238d011ec08bb20f3128d160513-gushzh944-0,254,1264,0.000,45.090
bafda2d002390011ec08b01045e6de32e845-c018-0,17486,20060,69.230,194.420
fec359100234a011ec095370e5a7ed273c06-c08-0,4,13,0.000,49.630
c3c728a002389011ec08b01045e6de32e845-g011-0,1232,1380,0.000,67.910
e4de720002396011ec08b01045e6de32e845-g012-0,348,1242,0.000,45.050
b2b0080002390011ec08b01045e6de32e845-c025-0,14553,20012,64.460,110.160
e50f6cf002349011ec095370e5a7ed273c06-c013-0,0,0,0.000,43.950
e717e7700236d011ec095370e5a7ed273c06-g02-0,0,0,0.000,50.480
e717e7700236d011ec095370e5a7ed273c06-g07-0,0,0,0.000,50.370
e50f6cf002349011ec095370e5a7ed273c06-c07-0,0,0,0.000,42.790
cda22ac002396011ec08bb20f3128d160513-g01-0,1229,1370,0.000,65.720
cda22ac002396011ec08bb20f3128d160513-g09-0,1231,1390,0.000,67.250
b09d936002376011ec08b01045e6de32e845-g03-0,12068,26832,44.340,80.080
cda22ac002396011ec08bb20f3128d160513-g08-0,1230,1390,0.000,64.340
fa0ffc9002392011ec095370e5a7ed273c06-weidq970-0,415,420,65.940,224.240
ef0171100238c011ec08bb20f3128d160513-g07-0,3217,32452,3.940,68.620
b2f3598002392011ec08b01045e6de32e845-g01-0,441,1666,24.140,48.350
b09d936002376011ec08b01045e6de32e845-g012-0,11965,26840,43.890,81.180
b2b0080002390011ec08b01045e6de32e845-c05-0,15653,20012,66.360,111.960
b2f3598002392011ec08b01045e6de32e845-g022-0,407,1726,20.220,48.720
e4de720002396011ec08b01045e6de32e845-g06-0,346,1242,0.210,43.880
b987bd4002393011ec08b01045e6de32e845-g01-0,11193,12498,78.020,106.470
b74c66a002381011ec08bb20f3128d160513-g019-0,12609,23348,53.720,77.750
c1524b000237c011ec08b01045e6de32e845-g015-0,8860,26436,31.970,80.830
b74c66a002381011ec08bb20f3128d160513-g05-0,12739,23212,53.660,79.390
b2f3598002392011ec08b01045e6de32e845-g021-0,442,1666,24.150,49.250
d86a9a6002353011ec08b01045e6de32e845-c024-0,0,0,0.000,42.350
bb6ccdc00238f011ec08bb20f3128d160513-c06-0,17050,20012,77.620,192.620
b91859100234b011ec095370e5a7ed273c06-c014-0,0,0,0.000,49.470
e50f6cf002349011ec095370e5a7ed273c06-c010-0,0,0,0.000,43.100
ca4efa7002390011ec08b01045e6de32e845-gushzh944-0,6,11,0.000,45.310
e4de720002396011ec08b01045e6de32e845-g017-0,347,1242,0.000,43.640
e4de720002396011ec08b01045e6de32e845-g013-0,320,1242,0.220,44.190
fec359100234a011ec095370e5a7ed273c06-c016-0,9,13,0.120,49.300
c1524b000237c011ec08b01045e6de32e845-g011-0,8937,27450,29.480,77.980
f97985d00238e011ec08b01045e6de32e845-weidq970-0,418,420,64.860,218.590
d86a9a6002353011ec08b01045e6de32e845-c020-0,0,11,0.000,41.810
